split_family,split,task,label,count
fair,train,intent,açıklama,2936
fair,train,intent,hipotez,697
fair,train,intent,diğer,384
fair,train,intent,tanı,320
fair,train,intent,tedavi,238
fair,train,intent,soru,218
fair,train,intent,emir,175
fair,train,intent,test,131
fair,train,intent,şaka,67
fair,train,intent,uyarı,63
fair,train,emotion,nötr,2798
fair,train,emotion,ciddi,997
fair,train,emotion,kaygı,717
fair,train,emotion,alaycı,239
fair,train,emotion,umut,205
fair,train,emotion,üzgün,130
fair,train,emotion,diğer,82
fair,train,emotion,öfke,61
fair,train,diagnosis_stage,değerlendirme,1453
fair,train,diagnosis_stage,hipotez,946
fair,train,diagnosis_stage,test,876
fair,train,diagnosis_stage,kesin_tanı,786
fair,train,diagnosis_stage,tedavi,519
fair,train,diagnosis_stage,diğer,346
fair,train,diagnosis_stage,başlangıç,303
fair,val,intent,açıklama,604
fair,val,intent,hipotez,126
fair,val,intent,diğer,77
fair,val,intent,tanı,57
fair,val,intent,soru,48
fair,val,intent,tedavi,47
fair,val,intent,emir,39
fair,val,intent,test,28
fair,val,intent,uyarı,15
fair,val,intent,şaka,13
fair,val,emotion,nötr,603
fair,val,emotion,ciddi,210
fair,val,emotion,kaygı,104
fair,val,emotion,umut,51
fair,val,emotion,alaycı,31
fair,val,emotion,üzgün,21
fair,val,emotion,diğer,18
fair,val,emotion,öfke,16
fair,val,diagnosis_stage,değerlendirme,290
fair,val,diagnosis_stage,hipotez,204
fair,val,diagnosis_stage,test,196
fair,val,diagnosis_stage,kesin_tanı,173
fair,val,diagnosis_stage,tedavi,93
fair,val,diagnosis_stage,diğer,65
fair,val,diagnosis_stage,başlangıç,33
fair,test,intent,açıklama,507
fair,test,intent,hipotez,147
fair,test,intent,diğer,81
fair,test,intent,tanı,57
fair,test,intent,soru,44
fair,test,intent,emir,37
fair,test,intent,tedavi,31
fair,test,intent,test,31
fair,test,intent,uyarı,14
fair,test,intent,şaka,13
fair,test,emotion,nötr,478
fair,test,emotion,ciddi,214
fair,test,emotion,kaygı,139
fair,test,emotion,alaycı,36
fair,test,emotion,öfke,28
fair,test,emotion,umut,27
fair,test,emotion,üzgün,21
fair,test,emotion,diğer,19
fair,test,diagnosis_stage,değerlendirme,270
fair,test,diagnosis_stage,test,154
fair,test,diagnosis_stage,kesin_tanı,150
fair,test,diagnosis_stage,hipotez,120
fair,test,diagnosis_stage,diğer,104
fair,test,diagnosis_stage,tedavi,100
fair,test,diagnosis_stage,başlangıç,64
