split_family,split,task,label,count
score,train,intent,açıklama,2833
score,train,intent,hipotez,679
score,train,intent,diğer,379
score,train,intent,tanı,304
score,train,intent,tedavi,221
score,train,intent,soru,217
score,train,intent,emir,176
score,train,intent,test,133
score,train,intent,şaka,65
score,train,intent,uyarı,64
score,train,emotion,nötr,2711
score,train,emotion,ciddi,988
score,train,emotion,kaygı,669
score,train,emotion,alaycı,217
score,train,emotion,umut,204
score,train,emotion,üzgün,127
score,train,emotion,diğer,82
score,train,emotion,öfke,73
score,train,diagnosis_stage,değerlendirme,1413
score,train,diagnosis_stage,hipotez,912
score,train,diagnosis_stage,test,848
score,train,diagnosis_stage,kesin_tanı,767
score,train,diagnosis_stage,tedavi,508
score,train,diagnosis_stage,diğer,348
score,train,diagnosis_stage,başlangıç,275
score,val,intent,açıklama,606
score,val,intent,hipotez,145
score,val,intent,diğer,81
score,val,intent,tanı,65
score,val,intent,soru,47
score,val,intent,tedavi,47
score,val,intent,emir,38
score,val,intent,test,29
score,val,intent,uyarı,14
score,val,intent,şaka,14
score,val,emotion,nötr,592
score,val,emotion,ciddi,197
score,val,emotion,kaygı,141
score,val,emotion,alaycı,50
score,val,emotion,umut,47
score,val,emotion,üzgün,24
score,val,emotion,öfke,19
score,val,emotion,diğer,16
score,val,diagnosis_stage,değerlendirme,281
score,val,diagnosis_stage,test,189
score,val,diagnosis_stage,hipotez,188
score,val,diagnosis_stage,kesin_tanı,166
score,val,diagnosis_stage,tedavi,109
score,val,diagnosis_stage,diğer,88
score,val,diagnosis_stage,başlangıç,65
score,test,intent,açıklama,608
score,test,intent,hipotez,146
score,test,intent,diğer,82
score,test,intent,tanı,65
score,test,intent,tedavi,48
score,test,intent,soru,46
score,test,intent,emir,37
score,test,intent,test,28
score,test,intent,şaka,14
score,test,intent,uyarı,14
score,test,emotion,nötr,576
score,test,emotion,ciddi,236
score,test,emotion,kaygı,150
score,test,emotion,alaycı,39
score,test,emotion,umut,32
score,test,emotion,diğer,21
score,test,emotion,üzgün,21
score,test,emotion,öfke,13
score,test,diagnosis_stage,değerlendirme,319
score,test,diagnosis_stage,test,189
score,test,diagnosis_stage,kesin_tanı,176
score,test,diagnosis_stage,hipotez,170
score,test,diagnosis_stage,tedavi,95
score,test,diagnosis_stage,diğer,79
score,test,diagnosis_stage,başlangıç,60
