task,candidate,text_col,val_macro_f1,val_weighted_f1
intent,speaker_text__union_logreg_c2,speaker_text,0.3126229473613746,0.49787586398908273
intent,entity_text__union_logreg_c2,entity_text,0.3113408811536606,0.48853238034286933
intent,speaker_text__char_svc_c1,speaker_text,0.29920705547924265,0.4963062265473427
intent,speaker_text__union_svc_c1,speaker_text,0.29702432083055075,0.5050406984956632
intent,compact_feature_text__union_logreg_c2,compact_feature_text,0.2933860710951511,0.4787347859349774
intent,speaker_text__union_svc_c05,speaker_text,0.2926001462638069,0.4942714580171924
intent,speaker_text__union_ridge_a1,speaker_text,0.2918349629405073,0.4864661209590203
intent,compact_feature_text__union_svc_c1,compact_feature_text,0.29170607567400575,0.48485277847606467
intent,compact_feature_text__char_svc_c1,compact_feature_text,0.29142966860792996,0.4770675719490637
intent,entity_text__union_svc_c1,entity_text,0.2884908109140739,0.4794484069744207
intent,entity_text__union_ridge_a2,entity_text,0.2883190804617854,0.44295757965039767
intent,entity_text__union_svc_c05,entity_text,0.2881703453303718,0.47019350354245937
intent,speaker_text__union_ridge_a2,speaker_text,0.2853018292265112,0.4567929329689494
intent,entity_text__union_ridge_a1,entity_text,0.28467365889804896,0.4622935872315287
intent,compact_feature_text__union_svc_c05,compact_feature_text,0.28061577698987245,0.471542184328451
intent,text_only__union_ridge_a2,text_only,0.2801274893857248,0.4686922927975726
intent,entity_text__char_svc_c1,entity_text,0.28009843340211443,0.4696835636699613
intent,compact_feature_text__union_ridge_a1,compact_feature_text,0.2794585686201639,0.45588150350363954
intent,text_only__union_ridge_a1,text_only,0.2792536250060039,0.4850822449696013
intent,text_only__union_svc_c1,text_only,0.27773773897778636,0.5018008614995708
intent,text_only__union_svc_c05,text_only,0.2756376930732697,0.4916893083743626
intent,text_only__union_logreg_c2,text_only,0.2746649455504338,0.49755039787403066
intent,speaker_text__word_pa,speaker_text,0.27394133543335997,0.4980468938518186
intent,text_only__char_svc_c1,text_only,0.2733856070164823,0.4697845434882076
intent,compact_feature_text__union_ridge_a2,compact_feature_text,0.2695363941407164,0.42707615266841537
intent,compact_feature_text__word_pa,compact_feature_text,0.2572347734325301,0.4931337470956191
intent,entity_text__word_svc_c1,entity_text,0.2536168780457644,0.4520515986984662
intent,speaker_text__word_svc_c1,speaker_text,0.25288805999711655,0.45624722636360593
intent,speaker_text__word_logreg_c4,speaker_text,0.25235464710506605,0.4495270337220007
intent,entity_text__word_svc_c05,entity_text,0.2523232240626948,0.4334436537040827
intent,entity_text__word_pa,entity_text,0.2511300695712487,0.48989203244638313
intent,compact_feature_text__word_svc_c1,compact_feature_text,0.24983303028214246,0.4387416593792392
intent,text_only__word_logreg_c4,text_only,0.2495310320163034,0.47572396804102535
intent,compact_feature_text__word_logreg_c4,compact_feature_text,0.24905214819294486,0.4341723038442657
intent,entity_text__word_logreg_c4,entity_text,0.2451219586242593,0.4494198326549309
intent,text_only__word_pa,text_only,0.24440052912691873,0.4927307514412909
intent,text_only__word_svc_c05,text_only,0.2442967076511659,0.4624766062259292
intent,speaker_text__word_svc_c05,speaker_text,0.24422091449348643,0.435379509136984
intent,text_only__word_svc_c1,text_only,0.24352368191008994,0.4751432758313598
intent,compact_feature_text__word_svc_c05,compact_feature_text,0.2432032372199849,0.409195459850901
intent,compact_feature_text__word_sgd_huber,compact_feature_text,0.24109637752697338,0.4685927647395261
intent,feature_text__union_ridge_a1,feature_text,0.2272833939279506,0.4088218555543778
intent,speaker_text__word_sgd_huber,speaker_text,0.22601821764409813,0.47938341232641174
intent,feature_text__union_logreg_c2,feature_text,0.2241959628421884,0.4380739982865729
intent,feature_text__union_ridge_a2,feature_text,0.22294497508981972,0.38840196061058524
intent,text_only__word_sgd_huber,text_only,0.22163384760076577,0.48114929225094966
intent,feature_text__word_logreg_c4,feature_text,0.21688815907789852,0.43236719827246234
intent,entity_text__word_sgd_huber,entity_text,0.21465380489796732,0.4632822764243823
intent,feature_text__union_svc_c05,feature_text,0.21380409457295474,0.4078548939288457
intent,feature_text__word_svc_c05,feature_text,0.20550906692480858,0.39295457350708113
intent,feature_text__union_svc_c1,feature_text,0.20443715014923916,0.4096334743610843
intent,context_text__union_logreg_c2,context_text,0.20388069232138184,0.4521322904100857
intent,text_only__word_cnb,text_only,0.2014434486649844,0.38388263932760874
intent,feature_text__char_svc_c1,feature_text,0.20143342875002962,0.4105950212670321
intent,feature_text__word_svc_c1,feature_text,0.20014213641630402,0.4050411927971833
intent,speaker_text__word_cnb,speaker_text,0.1971564136967951,0.37598775403350926
intent,context_text__union_ridge_a2,context_text,0.19128892645929232,0.3983457335658134
intent,context_text__union_ridge_a1,context_text,0.1903453413050497,0.4195324443261314
intent,context_text__union_svc_c05,context_text,0.18363917918176745,0.42455149126333924
intent,feature_text__word_pa,feature_text,0.1834594528743665,0.4261308068585076
intent,context_text__union_svc_c1,context_text,0.18281916825987807,0.4273278001784529
intent,context_text__char_svc_c1,context_text,0.17979610648512015,0.4013271717977979
intent,context_text__word_svc_c05,context_text,0.1794804284852268,0.4053471298611329
intent,entity_text__word_cnb,entity_text,0.17701790306665652,0.3377663929169874
intent,feature_text__word_cnb,feature_text,0.17543123799491397,0.36201511521548024
intent,compact_feature_text__word_cnb,compact_feature_text,0.1750960039233071,0.3397888611089156
intent,context_text__word_cnb,context_text,0.16897303500422853,0.36220042244644557
intent,context_text__word_logreg_c4,context_text,0.16637880679671724,0.4305566447019759
intent,context_text__word_svc_c1,context_text,0.16525519988326126,0.40868386247627203
intent,feature_text__word_sgd_huber,feature_text,0.15930938056784422,0.4097329590574198
intent,context_text__word_pa,context_text,0.15525223915506486,0.4378946355429586
intent,context_text__word_sgd_huber,context_text,0.12484634254630274,0.4112262327163833
